,DOCS
268,Recebi bem rápido veio produto não pedi modelo veio diferente cor veio capinha não tem zíper enfim não recomendo
273,sempre comprei stark satisfeito
274,fiz compra tabela graças Deus deu fico muito grato pode confiar
277,Cancelaram compra dia antes entrega liguei lannister atendentes não sabiam acontecendo bagunça agora esperando ver cobrado
280,produto qualidade eficiência entrega recebi muito antes combinado recomendo
282,Produto bom veio dentro prazo chegou dias parabéns
288,Enviei solicitações site trocar endereço Recebi mensagem iam ligar 48h não ligaram
290,oko baratheon sempre responsável entregas
294,acabento foto bonito chegou sintetico feio acabento borrado orrivel nao gostei
298,muito desordenado comprei produtos mais não veio dia sertões veio separado data separada
299,
300,entrega rapida
302,bom
303,Mercadoria entregue prazo combinado Grata
305,muito ruim
307,Passou dias previstos
313,fazer compra kit entendi receberia frascos cápsulas não frascos cápsulas total Só não devolver precisando produto
315,Entrega bem antes prazo perfeito
316,vez compro mais fico satisfeita parabéns honestidade clientes 👏👏👏👏
321,bem rapido entrega bom comprar
322,Produto não recomendo não ler dispositivo
323,Entrega super rápida parabéns
326,rápido eficiente
329,Creme maravilhoso entrega super rápida
332,Tentando cancelar produto antes emissão nota fiscal Não avisada correio não tive resposta cancelamento nao devolver
333,Chegou hoje comentários
334,Boa Noite lamentável loja compras ja fiz hoje não satisfação sequer relógio importância reais produto defeito até agora não deu retor
337,Muito bom esperava
338,capa protetora não exatamente esperava deixa desejar tipo material qualidade
343,site produto parece ter melhor qualidade material acabamento
347,Recebi produto corretamente dentro prazoverificando caixa corretomas ainda não monteiProduto lindocor perfeitaamamos SUPER RECOMENDO
348,embalagem deixou desejar pouco produto não danificado caixa amassada
349,Parabéns Produto entregue bem antes prazoAtendeu necessidades
350,Recomendo
351,Faltaram cabos manual
356,ótimo chegou bem antes prazo
360,Entregue prazo produto muito bom
363,produto embalado apenas papel pardo embalagem enviado correios Lógico embalagem chegou amassada só deus sabe produto funcionando não ainda não testei
365,Acho deveriam mandar sedex invés pac
366,Última vez compro hoje fazer mês fiz comprar demorar tempo entregar estarei procurando direitos lojas lannister targaryen
371,Lindo Só faltou instruções troca pulseiras
374,Produto exatamente conforme descrito Chegou bem antes prazo
381,produto chegou bem antes prazo estipulado amei atendimento Super recomendo
382,Não gostei produto material péssima qualidade
383,produtos comprados entregue apenas
384,Nao compro mais lannister parceiro lannister não targaryen jamais uso novamente ler empresa saio correndo absurdo Quase mês entregar Extracom ok
385,Recebi corretamente produto
391,recebi produto dentro prazo informado ainda não utilizei
393,pedido chegou antes combinado muito bom
394,produto entregue conforme anunciado
396,recebe apenas peça produto precisando peças restante
397,LOJA
398,violão comprei lindo cor adesivo não confere foto ato compra aprovei
400,Nem fizeram nota fiscal
401,Chegou antes prazo Produto excelente
406,trabalho profissionalismo lojas lannister indico certeza
410,MP3 player não funciona mesmo trocando pilha diversas vezes Tive devolver
411,super recomendo produto muito bom
412,Pré treino muito bom melhores mercado não melhor
413,loja postou produto mediato correio demorou pouco
414,Sempre compro stark sempre bem atendido site eficiente produtos ótima qualidade recomendo podem comprar olhos fechados
415,Muito bom compra entrega direitinho rapido
416,ok
421,targaryen não confiança não entregou compra colocou rastreamento pedido entregue dia empresa falsa quero receber produtos pagos boleto bancari
422,Entrega qualidade produto acordo esperado
423,Excelente recomendo
424,bolsa muito bonita fora dentro não tem forro bem fragil
428,instalei cartucho tinta impressora indicou mesmo vazio apresentou mensagem erro marcador nível tinta Já solicitei troca
429,muito bom recomendo produto
432,quanto site não tenho questionar sempre cumprem super combinado recomendo sempre produto fraco
434,bom aspectos
442,Até hoje satisfeito sbmarino
445,Não entregue capas couro compradas Apenas Aguardo devolução dinheiro entrega segunda capa
447,Gostei
457,Fiquei feliz tecido acho faltou lençol ficar completo espero logo lancem
458,Chegou antes prazo cabeceira linda
461,Houve confusão vendedor stark recebi email stark pedindo cancelamento produto imprevisto entrega neguei recebi produto dias depois
465,
466,Gostei produto chegou tempo vendedores parabéns
469,Atendimento excelente
470,Gostei
473,dia maio usei alça quebrou muito peso
474,Toalha maior campeão Brasil maravilhosa
475,entrega realizado muito antes previsto Bom produtoestou satisfeita
479,Até agora bem esperando entrega produto
481,compra ocorreu como esperado pedido até recebimento produto bem certinho
485,produto entregue antes prazo
488,Gostei muito produto exatamente boque esperava entrega dentro prazo parabéns recomendo loja
490,comprei produto cor preta chegou cor vermelha
494,já segunda vez compro lojasuper eficiente entrega rápida antes prazo contratado produto bem embalado Nota Muito Obrigado
495,otimo
498,Pensei mochila material mais resistente
501,Comprei produto veio Mandei msg informando erro não obtive resposta Obrigado
503,produto chegar
507,So recebemos relogio correio att
513,entrega rápida produto conforme esperado
514,como anunciadoÓtimo produto
515,Produto boa qualidade exatamente conforme anunciado preço baixo atrativo mais
516,Somente entregue unidade invés
517,adorei produto recebi antes prazo combinado ficou muito bonito
519,Muito satisfeito
520,Otimo produto porem caro
522,Produtos otimos entrega rápida Super recomendo
524,recebi sim mais defeito encaixes sao igual nao fecham
527,Ainda não recebi
528,Tive pós venda excelente através Sr Renato
530,Gostei muito produto entrega veio antes prazo Recomendo fica bem encaixado celular não tira elegância aparelho como capas deixam monstruoso tamanho
531,Muito bom
532,Até agora nao recebiComprei aparelho questao saudeportanto nao recomendo loja
535,Recomendo Produto ótima qualidade entregue problemas
537,Produto chegou dentro prazo Veio conforme descrição excelente
539,produto chegou antes prazo gostei bastante agora rapazinho aninhos aproveitar maximo
540,Gostaria saber quando chegará produto Pois já passou data prevista entrega gostaria resposta aguardando
541,Loja Nota
543,Parabéns Recebi antes prazo correto como combinado
544,produto entregue difere pedido tratase produto inferior Gostaria solucionado problema Não satisfeito procedimento
545,Muito bom mesmo
546,Comprei produto paguei boleto só recebi metade produto anunciaram coisa mandaram Muito insatisfeita 😡😡😡
547,Entrega antes prazo produto muito bem conservado
548,Produto ótima qualidade Adorei
551,Apesar expedir nota fiscal depois expedida entrega rápida produto veio bem embalado Recomendo
553,Comprei produto dia inicio março não recebi prazo abrindo até protocolo resolverem situação
554,Não recebi produto assim como contato parte vendedor
557,Nem ratrear conseguindo
558,nota
559,Esperando instalador
560,comprei produto entregue loja ainda não recebi assim já passou data entrega
561,Ótimo serviço
562,Ótima compra Ótimo produto Só senti falta comunicado compra chegada produto só contato valeu
563,veio conforme pedido mais pós venda não respondeu perguntas
566,Comprei mochilas recebi apenas natal chegando até agora
568,Perfeitos😁
569,preço ótimo prazo entrega longo mais mês entregar Comprei cartuchos entregaram apenas reclamei enviaram ainda dentro prazo entrega
572,prazo estendidoporém entregue prazo divulgado propaganda Cadeira conforme foto vem montar mais fácil linda
573,Simplesmente lindo Adorei produto Tamanho perfeito Já comprei produtos já faz anos compro baratheon
576,MUITO BOM CHEGOU DENTRO PRAZO
578,Otimo preço entregou antes prazo produto ótima qualidade
579,comprei relogio presente natal filho agora nao chegou enviei mensagens ultima conversa relogio chegaria ontem porem nao recebi
582,só poderia entregar mais rápido fim ano
584,Otima Venda perfeito
593,Produto ótima qualidade Chegou antes tempo esperado Amei
595,Veio bem embalado Envio rápido
597,muito satisfeita compra recebimento produto
599,Até agora não recebi colcha prevista anteontem1812 até agora
601,pincéis vieram amassados não condiz fotos condiz descrição fracos não cabem case veio descolado
602,Produto correspondente expectativas entregue antes prazo estabelecido
606,Indico loja compro sempre lannister
608,produto veio diferente mostra foto não luxo acolchoado como dizia
611,normal como mesmo compra internet Obrigado
614,Boa compra
618,Produto chegou dentro prazo Atende custo benefício bolsa não forrada alça plástico satisfeita
620,plenamente satisfeita aquisição recomendo única coisa não concordo valor frete Autíssimo
622,Comprei só enviaram
624,parece mantem bem alimento murchar batata palha estranha parece não fecha inox feio
626,aguardando resposta até hoje produtos já pagos ainda NÃO recebi iguais necessito falar pessoas NÃO máquina gravações
630,Entrega produto perfeito
632,Parabéns 😤 excelente atendimento qualidade
635,Produto entregue antecipadamente
637,gostei comprar recebi produto antes prazo boa qualidade recomendo
640,Super recomendo stark Sempre chegando antes dta prevista D
641,Correios não entregou
643,Entrega feita prazo produto perfeitas condicoes Parabens equipe
644,ainda não recebi produto
645,Gostaria receber produtos corretos tentei realizar troca devolução dinheiro cartão site lannister não possibilita realizado
646,Produto perfeito entrega rápida satisfeitíssima 👏🏽
648,produto veio defeitodevolvi conforme informadopostado correio conforme indicadoe até hoje não recebi notificação empresa quanto devolução análise ter meuressarcimento
649,pedido chegou antes prazo Obrigada
650,Só recebemos cartucho já abrimos reclamação site ainda não obtive resposta
652,Produto alta qualidade Descrição confere produto Entregue tempo Recomendo
653,tampo mesa chegou amassado batido
654,Dentro prazo poderiam agilizar como produto entregue dias
658,relógio lindo entrega muito rápida Recomendo
662,Adorei Pequeno fácil usar não arranha apela limpa pele recomendo
664,sempre excelente serviço
666,Até momento n recebir produto
668,sempre lannister entrega certinho
671,Produto perfeito chegou antes prazo
673,Muito bom produto melhor esperava entregue prazo gostei bastante
674,Muito bom produto preço cobrado
676,Sdds
677,muito bom produtoRecomendo
682,entrega dentro prazo importante
683,Gostei muito objeto veio mesmo comprado já comprei lojas veio cor ñ Gostei lannister ok
685,aparelho chegou apresentando defeito não apresentando funções visor digital
687,produto não medidas corretas indicadas oferta Terei ligar troca
688,aguardo retorno urgente
690,Produto mais passou prazo entregar tento resolver problema empresa não falar fazem passar reclamar sistema não funciona
692,Só recebi produto Consta já recebi Não recebi sapateira
694,Deram prazo muito grande entrega produto não conseguiram entregar prazo
695,Excelente produto indico pessoa
696,certinho entrega prazo ótimo
700,Não recebi produtoe agora
706,Chegou amassado
711,Recomendo
713,comprei tapete borracha tr4 mitsubishi loja entregou tapete pvc horrivel titulo tapete borracha tr4 enganaram agora fazer tem despesa devoluçao
715,Ótimo perfume Fragrância maravilhosa Recomendo
718,muito boa rapida produto veio bom estado agora mesmo fazer testes
719,produto superou expectativa prazo entrega antecipado dias Já instalei ficou show
723,entrega rapida
726,Previsão entrega até recebi excelente
728,Cortina plástico foto parece tecido desenho diferente cores morta apagadas verdadeira porcaria não recomendo compra decepção total
729,SOLICITEI DEVOLUÇÃO PRODUTO COM DEFEITO
730,Loja boa pena americana nao suporte cliente
732,Exatamente precisava
733,Achei qualidade produto muito ruim não veio bucha parafuso fixar parede
734,Obrigada chegou rápido
737,único problema marcação data marcação americana
738,Acho produto deveria ter prazo validade maior
743,Entrega antes prazo recomendo loja
746,show
748,Boa noite lojas lannister ótimas adoro site hoje faço pouquíssima compra frete abusivo infelizmente não compensa como antes precisamos comprar obrigada
757,Excelente produto bonito sofisticado
758,Não veio nota fiscal
759,agradeço muito recebi produto correto conforme encontrado site entrega super rápida fiquei muito satisfeito certeza recomentar amigo
760,Entrega rápida produto conforme anunciado
763,MEU PRODUTO AINDA NÃO FOI ENTREGUE JÁ FIZ RECLAMAÇÃO ATÉ AGORA NÃO TIVE NENHUMA PREVISÃO DE ENTREGA ESTOU SUPER INSATISFEITO QUERO MEU DINHEIRO DE VOLTA FOI DENUNCIAR PROCON
764,cortina não modelo pedi
765,impressão saindo tinta fraquinha
768,Comprei Rosa Braços Brancos entregam Preta
769,Preciso previsão
770,muito satisfeita chegou antes prazo super recomendo
772,Produto chegou antes prazo estipulado atendeu plenamente expectativas
775,Entrega dentro prazo produto problema
777,bom
778,Boa qualidade preço
783,Sempre entrega antes prazo
787,muito bomsuper recomendoentrega sempre
788,Boas Pessoal atendente lannister muito atenciosa loja deveria ter entregado produto cancelou comprar aconteceu
790,Entregue antes prazo Produto perfeito
792,Recomendo não tive problema mercadoria prazo ótimos
793,Gostei ter comprado loja Atendimento perfeito
796,Comprei cadeira recebi prazo cadeira veio quebrada parte inferior Poderiam ter maior cuidado embalagem
797,Sempre compro sempre recebo produto prazo antes prazo
799,ENTREGA MUITO RAPIDA
803,produto entregue bem antes prazoadorei
805,Ainda nao instalei mais gostei muito
807,Bom produto Entrega rápida Recomendo
809,Produto recebido prazo perfeitas condições
810,muito bom
813,Recebi boneca quero devolver não contato Jamais compraria novamente loja
814,ótima compra frete nao compensapesa orçamento devia ter frete grates
815,
816,produto chegou como imaginavapor enquanto gostando
819,Ótima rápida entrega OBRIGADO
821,Penso deveria haver modo comunicar empresa caso acontecesse encomenda não entregue
822,Produto bom prazo bom
824,Muito bom Já objeto compro recebi problema
826,Bonito boa qualidade Adorei
829,produto chegou antes prazo
836,Boa noite não gostei nunca conseguimos falar telefone
837,Vendedor compromisso cliente
840,produto não atendeu espectativas potinhos dificeis abrir fechar bandeja potinhos veio pontos ferrugem
845,Muito satisfeito entrega super rápida Show parabéns vacilei comprei celular casas Bahia tem quase mês não entregaram
849,ótimo
850,prazo recomento
852,Não recebi jogo cor tabaco Só vermelho
854,Nao entregue casa nao gostei nao tenho tempo indo correios
856,Compra perfeita
862,produto veio estragado
865,mercadoria não entregue já paguei fatura quero cancelar compra paguei frete não recebi mercadoria
866,PRODUTO JA CHEGOU COM DEFEITO NÃO FUCIONOU NECESSIDADE DE USO INFELIZMENTE ULTIMA COMPRA TOTALMENTE INSATISFEITO
869,Recebi apenas caixa unidades pedi caixas
871,extremamente decepcionado nunca havia acontecido
873,COMPREI PENDENTES SÓ CHEGOU PRECISO SABER FOI HOUVE
874,Recomendo loja entrega direitinho
875,conforme entrega muito rápida pena não verifiquei cor preta precisava cinza ponto tive lixar pouco funcionar
878,Entrega rapida correta
879,Produto fácil montagem atende perfeitamente propósito otimizar espaço
882,Produto veio amassados também não funcionando corretamente
883,Gostei produto
886,Produto ótima qualidade
889,esperando há mais dias ainda não recebi produto não informação
892,aguardando posição empresa fazer devolução produto
896,CEP escrito errado tive retirar produto Correios cidade vizinha
897,fornecedor não enviou produto correto solicitei sabor chocolate enviado sabor
898,Recomendo loja
901,Ótimo produto
903,Excelente
905,Continuem assim responsabilidade consumidor tanto produto quanto prazo entrega Primeira vez compro comprar Obrigado
906,Adorei Moderno bonito cantinho café ficar top
907,bom esperava
908,correu como combinado reclamar
912,fácil manuseio até presente atende expectativas
913,Relógio lindo entrega antes prazo
917,Veio conforme anunciado simples mais bonita
919,Produto condiz anúncio
920,produto ainda não chegou
921,satisfeito recomendo
924,Amei chegou rapidinho ainda testaloObrigado
927,Gostei muito comprei muito obrigada breve farei compras vanda
929,Ainda não recebi produto
930,Recebi bolsa diferente gostei previsto janeiro achando muito tempo escola aguardando vale compra compra bolsa não deu
932,Recebi produto queria antes prazo combinado muito bom recomendo certeza
934,propaganda escrito Mixer elétrico veio portátil tenho quebrou queria elétrico devem especificar melhor produtos
938,Produto entregue antes prazo combinado Não vez compro site Lojas lannister recomendo empresa seriedade trato clientes
939,Comprei produtos so mandaram n deram justificativa
943,Agradeço muito bom
944,
945,Dentro previsto
948,Recebi antes prazo estimado
949,Só imaginei maior boneca Mais legal
950,Tive problema entrega não tinha casa receber mercadoria horário passaram
953,Atenciososligam dar acompanhamento Bom prazo validade Demorou chegar Agora verificar qualidade produto
955,Muito eficiente entregou bem rápido recomendo
957,Muito lindo Relógio
959,Otimo produto entrega prazo
960,Chegou antes data prazo porem vazou pouco produto
972,Sempre compro itens chega perfeito estado
973,Produto entregue antes prazo ótimo estado
974,Muito bom
976,Entrega super rápida Produto ótima qualidade Recomendo
978,Olá único problema não recebemos produto endereço solicitado tivemos ir atrás produto agência correios centro cidade pagamos até mais receber cas
980,Produto lindo ótimo
985,excelente
986,Esperava mais toalhas poderiam mais grossas
987,Entrega dia antes previsto
988,Demora pouco esquentar mesmo potência máxima atende bem rimeiros dias uso tem cheiro meio borracha queimada passa recomendo praticidade custobenefício
990,entregue bem embalado Entrega rapido comforme prometido Comforme imagem
992,ocorreu forma eficiente
993,produto chegou antes prazo perfeitas condições
995,pedido não entregue endereço paguei frente tive ir até centro distribuição retirar pedido Falta respeito pagar receber casa não receber
999,produto não corresponde comprei película muito menor tela celular não cobre tela
1000,produto conforme anunciado veio antes prazoperfeito
1001,Produto bom entregue antes previsto
1002,Ainda não usei viagem parece muito boa
1004,produto encaminhado cidade destino dia até momento não recebi
1008,Recomendo
1009,Produto não entregue
1010,Simplesmente não recebi produto nao tenho posicionamento decente acontecerá
1011,Não recebi braço ducha desviador somente ducha 20x20 braço
1012,Adoro comprar lojas lannister
1015,Entrega muito rápido produto excelente
1016,Ótimo
1017,produto pode mal funcionamento telefone não conseguindo fazer leitura
1023,Produto entregue
1024,Loja vergonha Não entregaram pedido tiveram descaração duErem cancelei Porcaria vendedor stark escolheu muito mal paeceiro
1026,Muito bom
1027,Recebi produto eh falso quero dinheiro volta
1028,PRODUTO NÃO VEIO SITE MOSTRAVA CALENDÁRIO SITE QUANDO RECEBI VEIO SEM DIFÍCIL FAZER TROCA ESTORNO PRODUTO
1031,Produto bom Entrega antes prazo
1032,Bom
1033,gostei muito
1036,Comprei produtos não chegou cabo adaptador áudio
1038,Gostei muitochegou certinho até antes prazo entrega
1043,Produto entregue dentro prazo
1044,Fornecedor targaryen mandou massageador completamente diferente comprei preço inferior cheio avaliações negativas erra mandando superior curiosoOu n recomendo
1046,Recebi produto prazo ok
1050,Muito ruim não veio produto veio errado
1051,ABRI PROTOCOLO DEVOLUÇÃO PRODUTO DE BAIXA QUALIDADE DEU PROBLEMA PRIMEIRO DIA DE USO lannister VIROU MERCADO LIVRE6 PEDIDOS PROBLEMAS
1052,Entrega prazo como descrito site
1053,pedido numero veio partes ficou faltando Sapatênis Manchester Polo Match dia mostra lugar entro site aparece já entregue
1055,lannister sempre superandoo
1057,surpreendido eficácia Ótimo
1059,otimo atendimento entregue dentro prazo
1061,Obrigada qualidade produto entrega previsto chegou dia Adorei Parabéns
1063,mercadoria não entregue ainda
1068,Ainda não utilizei produto
1069,Recebi encomenda forma normal dentro prazo recebi data entrega estimada posterior data aumentando Não gostei atitude Demorou semanas
1074,pedi cancelacem antes emitida pq havia ganhado presente igual não cancelaram mandaram assim pedi quando ainda não tinha emitida
1075,Muito linda deu charme sala
1079,Ótimo atendimento entrega antes prazo
1085,Não recebi produto completo comprei quantidade recebi somente consta nota entrega tem quantidade volume Quero receber custo Pois erro não
1088,Recomendo
1090,bolsas lindas fora cor bem próxima foto dentro não tem forro descrição acabamento deixou pouco desejar mais entrega super rápida
1091,preciso urgente mercadoria prazo maximo até dia até agora não chegou
1092,Otimo material bem resistente espaçosa 👏👏👏 gostei
1095,Ótimo serviço
1098,Prestação serviços alta qualidade
1099,produto baixa qualidade
1101,Produto entregue bem embalado perfeitas condições
1102,Demorou entregou
1104,compra efetuada ursos rezam rosa azul recebi somente produtos adquiri rosa aguardando retorno vendedor ocorreu receber
1106,Produto defeito apresenta risco não confiável já eviei email efetuei ligações retorno
1107,modo geral satisfatório gravação laser justamente laser deixa desejar quanto centralização pingente marca bem como qualidade gravação
1108,Chegou antes data prevista recomendaria amigos loja stark parabéns
1109,Tapete lindoChegou muito antes prazo
1110,Gostei muito
1113,Poderia ter agilizado entrega Porém recebi produto ótimas condições
1116,Recebi prancha falta Falta pedido
1117,Protudo chegou ótimo estado conservação antes prazo
1118,Produto excelente qualidade entrega feita antes prazo previsto Muito satisfeita
1119,produto muito lindo preço excelente entrega super rápida ocorrendo muito antes prazo Recomendo quarto ficou irado
1122,produto veio nota fiscal tive solicitar telefone
1124,produto não bom
1126,Muito satisfeito recomendo
1129,Podem comprar medo
1132,gosto comprar loja agente ñ precisa avisar entrega
1133,Excelente produto
1134,Produto entregue prazo nota
1139,descrição produto errada não consegui usar produto pedi cancelamento fazem dias ainda não obtive resposta
1141,Muito Bom exelente
1143,atendimento eficaz entrega dentro prazo
1145,Chegou pouco antes prazo bom
1148,Gostei travesseiro como descrito site
1149,Super recomendoentrega produtos ok
1150,pontualidade não satisfação cliente
1156,Satisfeito aquisição negócio Entrega prazo produto bem embalado Nota Fiscal caixa original garantia manual usuário Primeiras impressões relógio perfeito
1157,Atendeu expectativas
1160,MUITO BOM ENCOMENDA CHEGOU CERTINHA
1170,mosquiteiro veio furos parte superior pedir mosquiteiro King porem nao veio Kiung sim
1173,Muito bom
1175,Produto chegou rapidamente conforme anunciado
1176,Produto baixa qualidade
1177,Produto qualidade preço justo entrega dentro prazo produto atendeu expectativas Recomendo vendedor
1178,enviado produto errado
1182,Efetuei compra pagamento unidades recebi apenas unidade Aguardando tratativa
1184,Adorei produtochegou antes prazo estipuladoEstou muito satisfeita
1187,ok
1189,quadro entregue correios chegou madeira atrás quebrada tela quadro danificada afundadaou sejachegou avariado produto
1191,Produto importado veio defeito
1193,Produto simples bonito
1201,Gostei muito agilidade entrega
1204,Ainda não recebi
1205,Esperava maior pouco
1206,produto razoavel envio produto embalagem propria chegou amassado quase danificou
1210,Produto chegou antes prazo muito bem embalado fornecedor avarias qualidado produto muito boa
1212,Só gostaria saber dia correto entrega
1214,Produtos muito bons
1215,Otimo produto
1217,Bom dia comprei bebedouro vermelho metálico recebi bebedouro Rosa obs cachorro macho
1219,Não entregue vez acontece
1220,produto demorou mês entregue tempo poderia ter chegado antes data limite fora oK
1221,Comprei unidades produto veio avariado visto embalagem muito fraca veio buracos fundo panela devido pressão dog colocado
1226,só acho poderia ter comprado mais cartuchos não fiz cartucho veio frete diferente coisa poderiam colocados único pacote baratearia frete
1233,comprei lannister tratar loja confiança chegar produto descobri vendido marca Targus verdade produto falsificado não confio mais
1235,Excelente serviço
1236,Pedido cancelado mesmo assim loja enviou produto Devolvi produto quero estorno compra cartão crédito
1237,COMPREI JOGO DE PANELAS COM PANELAS PANELA DE PRESSÃO VERMELHO PANELAS TIPO OVAL RECEBI JOGO COM PANELAS JOGO DE ESPÁTULAS PRETOS COISA NÃO PEDI VEIO APENAS FRIDEIRA
1238,comprei dia recebi mercadoria excelente
1240,Não gostei qualidade enchimento almofadas
1241,já solicitei preciso fazer devolução não entregue prazo precisa Já solicitei aqui já entrei contato vendedor aguardo fazer devolução
1245,GOSTAEI RAPIDEZ ENTREGA
1246,Quero saber produtos itens
1249,Parabéns
1252,Não posso dar opinião produto não recebi loja não recomendo atrasa entregas
1254,Produto chegou prazo perfeitas condiçoes veio embalado forma incrivel Muito bem embalado mesmo Chegou arranhao
1257,Não recebi produto
1260,Comprei 2dois produtos iguais tive pagar 2dois fretes Empresa poderia ter colocado única embalagem cobrar apenas frete Produto entregue perfeitas condições Ótimo produto
1261,Ótimo produto
